iter	Passed	Remaining
0	6	2631
1	16	3268
2	25	3326
3	31	3117
4	36	2895
5	43	2842
6	50	2831
7	56	2770
8	62	2736
9	68	2655
10	73	2594
11	80	2589
12	86	2573
13	91	2514
14	97	2499
15	102	2471
16	110	2492
17	119	2530
18	126	2539
19	132	2510
20	137	2476
21	143	2460
22	149	2442
23	154	2419
24	160	2402
25	165	2385
26	170	2361
27	177	2356
28	182	2334
29	187	2311
30	193	2307
31	199	2292
32	204	2273
33	210	2267
34	215	2250
35	220	2232
36	227	2229
37	232	2212
38	237	2196
39	245	2205
40	253	2219
41	261	2224
42	266	2214
43	275	2225
44	282	2229
45	295	2276
46	306	2300
47	311	2286
48	316	2263
49	321	2248
50	327	2239
51	332	2224
52	337	2211
53	343	2202
54	349	2189
55	357	2197
56	363	2185
57	370	2186
58	379	2196
59	385	2183
60	392	2182
61	399	2177
62	405	2169
63	411	2159
64	417	2150
65	426	2160
66	432	2149
67	438	2142
68	445	2135
69	453	2135
70	460	2132
71	465	2121
72	475	2128
73	483	2131
74	491	2128
75	496	2115
76	501	2103
77	507	2094
78	512	2084
79	517	2071
80	526	2074
81	531	2060
82	536	2050
83	541	2037
84	546	2023
85	550	2011
86	556	2002
87	561	1989
88	565	1976
89	571	1969
90	578	1963
91	584	1957
92	590	1950
93	596	1940
94	603	1937
95	608	1927
96	614	1920
97	621	1915
98	626	1906
99	632	1897
100	638	1891
101	644	1884
102	653	1884
103	659	1877
104	665	1868
105	671	1863
106	677	1856
107	686	1855
108	691	1845
109	696	1836
110	702	1829
111	708	1820
112	717	1821
113	723	1815
114	729	1808
115	736	1803
116	742	1796
117	749	1790
118	757	1789
119	767	1790
120	774	1786
121	783	1784
122	789	1778
123	794	1769
124	802	1764
125	809	1759
126	817	1756
127	825	1754
128	835	1754
129	840	1745
130	845	1736
131	851	1729
132	856	1720
133	862	1711
134	868	1704
135	874	1697
136	879	1689
137	885	1681
138	891	1673
139	898	1668
140	907	1666
141	914	1661
142	919	1652
143	924	1644
144	931	1637
145	936	1628
146	941	1621
147	948	1614
148	954	1607
149	960	1600
150	967	1595
151	973	1589
152	983	1588
153	990	1582
154	1001	1582
155	1006	1574
156	1014	1569
157	1020	1563
158	1025	1554
159	1032	1548
160	1040	1544
161	1048	1540
162	1053	1532
163	1062	1528
164	1070	1525
165	1080	1523
166	1088	1518
167	1096	1514
168	1104	1510
169	1114	1508
170	1123	1504
171	1129	1497
172	1134	1487
173	1138	1478
174	1144	1471
175	1149	1463
176	1154	1455
177	1162	1449
178	1167	1440
179	1172	1432
180	1178	1425
181	1183	1417
182	1188	1409
183	1194	1402
184	1200	1395
185	1207	1389
186	1214	1383
187	1224	1381
188	1233	1376
189	1244	1375
190	1252	1370
191	1259	1364
192	1265	1357
193	1271	1350
194	1277	1343
195	1283	1336
